source,target,type,weight
ws-finance-01,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-finance-01,edge-dmz-proxy,HTTP_PROXY,1.0
ws-finance-01,bastion-rdp-01,CAN_RDP_TO,2.5
ws-finance-02,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-finance-02,edge-dmz-proxy,HTTP_PROXY,1.0
ws-finance-02,bastion-rdp-01,CAN_RDP_TO,2.5
ws-finance-03,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-finance-03,edge-dmz-proxy,HTTP_PROXY,1.0
ws-finance-03,bastion-rdp-01,CAN_RDP_TO,2.5
ws-finance-04,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-finance-04,edge-dmz-proxy,HTTP_PROXY,1.0
ws-finance-04,bastion-rdp-01,CAN_RDP_TO,2.5
ws-finance-05,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-finance-05,edge-dmz-proxy,HTTP_PROXY,1.0
ws-finance-05,bastion-rdp-01,CAN_RDP_TO,2.5
ws-finance-06,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-finance-06,edge-dmz-proxy,HTTP_PROXY,1.0
ws-finance-06,bastion-rdp-01,CAN_RDP_TO,2.5
ws-hr-01,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-hr-01,edge-dmz-proxy,HTTP_PROXY,1.0
ws-hr-02,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-hr-02,edge-dmz-proxy,HTTP_PROXY,1.0
ws-hr-03,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-hr-03,edge-dmz-proxy,HTTP_PROXY,1.0
ws-hr-04,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-hr-04,edge-dmz-proxy,HTTP_PROXY,1.0
ws-dev-01,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-dev-01,edge-dmz-proxy,HTTP_PROXY,1.0
ws-dev-01,srv-git-enterprise,GIT_SSH_ACCESS,1.5
ws-dev-01,bastion-ssh-01,CAN_SSH_TO,3.0
ws-dev-02,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-dev-02,edge-dmz-proxy,HTTP_PROXY,1.0
ws-dev-02,srv-git-enterprise,GIT_SSH_ACCESS,1.5
ws-dev-02,bastion-ssh-01,CAN_SSH_TO,3.0
ws-dev-03,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-dev-03,edge-dmz-proxy,HTTP_PROXY,1.0
ws-dev-03,srv-git-enterprise,GIT_SSH_ACCESS,1.5
ws-dev-03,bastion-ssh-01,CAN_SSH_TO,3.0
ws-dev-04,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-dev-04,edge-dmz-proxy,HTTP_PROXY,1.0
ws-dev-04,srv-git-enterprise,GIT_SSH_ACCESS,1.5
ws-dev-04,bastion-ssh-01,CAN_SSH_TO,3.0
ws-dev-05,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-dev-05,edge-dmz-proxy,HTTP_PROXY,1.0
ws-dev-05,srv-git-enterprise,GIT_SSH_ACCESS,1.5
ws-dev-05,bastion-ssh-01,CAN_SSH_TO,3.0
ws-dev-06,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-dev-06,edge-dmz-proxy,HTTP_PROXY,1.0
ws-dev-06,srv-git-enterprise,GIT_SSH_ACCESS,1.5
ws-dev-06,bastion-ssh-01,CAN_SSH_TO,3.0
ws-sales-01,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-sales-01,edge-dmz-proxy,HTTP_PROXY,1.0
ws-sales-02,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-sales-02,edge-dmz-proxy,HTTP_PROXY,1.0
ws-sales-03,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-sales-03,edge-dmz-proxy,HTTP_PROXY,1.0
ws-sales-04,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-sales-04,edge-dmz-proxy,HTTP_PROXY,1.0
ws-ops-01,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-ops-01,edge-dmz-proxy,HTTP_PROXY,1.0
ws-ops-01,bastion-ssh-01,CAN_SSH_TO,2.0
ws-ops-01,sec-siem-collector,HTTPS_MGMT,1.5
ws-ops-02,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-ops-02,edge-dmz-proxy,HTTP_PROXY,1.0
ws-ops-02,bastion-ssh-01,CAN_SSH_TO,2.0
ws-ops-02,sec-siem-collector,HTTPS_MGMT,1.5
ws-ops-03,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-ops-03,edge-dmz-proxy,HTTP_PROXY,1.0
ws-ops-03,bastion-ssh-01,CAN_SSH_TO,2.0
ws-ops-03,sec-siem-collector,HTTPS_MGMT,1.5
ws-ops-04,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-ops-04,edge-dmz-proxy,HTTP_PROXY,1.0
ws-ops-04,bastion-ssh-01,CAN_SSH_TO,2.0
ws-ops-04,sec-siem-collector,HTTPS_MGMT,1.5
ws-exec-01,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-exec-01,edge-dmz-proxy,HTTP_PROXY,1.0
ws-exec-01,bastion-rdp-01,CAN_RDP_TO,2.5
ws-exec-02,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-exec-02,edge-dmz-proxy,HTTP_PROXY,1.0
ws-exec-02,bastion-rdp-01,CAN_RDP_TO,2.5
ws-exec-03,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-exec-03,edge-dmz-proxy,HTTP_PROXY,1.0
ws-exec-03,bastion-rdp-01,CAN_RDP_TO,2.5
ws-exec-04,srv-file-smb,SMB_SHARE_MOUNT,2.0
ws-exec-04,edge-dmz-proxy,HTTP_PROXY,1.0
ws-exec-04,bastion-rdp-01,CAN_RDP_TO,2.5
bastion-rdp-01,dc-corp-primary,ADMINS_ON,1.0
bastion-rdp-01,dc-corp-backup,ADMINS_ON,1.0
bastion-rdp-01,db-prod-erp,DB_ADMIN_CONSOLE,1.2
bastion-ssh-01,db-cust-sql,SSH_TUNNEL,1.2
bastion-ssh-01,cloud-kms-vault,SSH_KEY_AUTH,1.5
bastion-rdp-01,swift-pay-gateway,PRIVILEGED_RDP,1.0
dc-corp-primary,dc-corp-backup,AD_REPLICATION,0.5
entra-id-sync,dc-corp-primary,LDAP_SYNC,0.8
app-api-gateway,db-cust-sql,SQL_QUERY_CLIENT,1.0
app-api-gateway,db-prod-erp,SQL_QUERY_CLIENT,1.0
edge-vpn-gw,firewall-internal,TRAFFIC_ROUTED,1.0
firewall-internal,bastion-rdp-01,TRAFFIC_FILTERED,1.5
ws-finance-01,ws-finance-02,LAN_PEER_CONNECTION,3.5
ws-finance-02,ws-finance-03,LAN_PEER_CONNECTION,3.5
ws-finance-03,ws-finance-04,LAN_PEER_CONNECTION,3.5
ws-finance-04,ws-finance-05,LAN_PEER_CONNECTION,3.5
ws-finance-05,ws-finance-06,LAN_PEER_CONNECTION,3.5
ws-hr-01,ws-hr-02,LAN_PEER_CONNECTION,3.5
ws-hr-02,ws-hr-03,LAN_PEER_CONNECTION,3.5
ws-hr-03,ws-hr-04,LAN_PEER_CONNECTION,3.5
ws-dev-01,ws-dev-02,LAN_PEER_CONNECTION,3.5
ws-dev-02,ws-dev-03,LAN_PEER_CONNECTION,3.5
ws-dev-03,ws-dev-04,LAN_PEER_CONNECTION,3.5
ws-dev-04,ws-dev-05,LAN_PEER_CONNECTION,3.5
ws-dev-05,ws-dev-06,LAN_PEER_CONNECTION,3.5
ws-sales-01,ws-sales-02,LAN_PEER_CONNECTION,3.5
ws-sales-02,ws-sales-03,LAN_PEER_CONNECTION,3.5
ws-sales-03,ws-sales-04,LAN_PEER_CONNECTION,3.5
ws-ops-01,ws-ops-02,LAN_PEER_CONNECTION,3.5
ws-ops-02,ws-ops-03,LAN_PEER_CONNECTION,3.5
ws-ops-03,ws-ops-04,LAN_PEER_CONNECTION,3.5
ws-exec-01,ws-exec-02,LAN_PEER_CONNECTION,3.5
ws-exec-02,ws-exec-03,LAN_PEER_CONNECTION,3.5
ws-exec-03,ws-exec-04,LAN_PEER_CONNECTION,3.5
